domain,temp,atemp,hum,windspeed,cnt
0,0.34,0.3333,0.71,0.1642,0.2789070641998758
0,0.34,0.3333,0.57,0.194,0.25793447709229594
0,0.36,0.3333,0.46,0.3284,0.23291135015651293
0,0.32,0.2879,0.42,0.4478,0.17523197083542122
0,0.3,0.2727,0.39,0.3582,0.15005969470659003
0,0.26,0.2273,0.44,0.3284,0.17812856328027454
0,0.24,0.2121,0.44,0.2985,0.09597850322264759
0,0.22,0.2273,0.47,0.1642,0.09048940063582536
0,0.22,0.197,0.44,0.3582,0.07153815252817422
0,0.2,0.1667,0.44,0.4179,0.04524470031791268
0,0.16,0.1364,0.47,0.3881,0.031992834407549194
0,0.16,0.1364,0.47,0.2836,0.05541321467201295
0,0.14,0.1061,0.5,0.3881,0.17523197083542122
0,0.14,0.1364,0.5,0.194,0.25594267526039355
0,0.14,0.1212,0.5,0.2836,0.39702063400791276
0,0.16,0.1364,0.43,0.3881,0.30011938941318006
0,0.18,0.1667,0.43,0.2537,0.21221645541962575
0,0.2,0.1818,0.4,0.3284,0.2284745371477357
0,0.22,0.2121,0.35,0.2985,0.24987202456289637
0,0.24,0.2121,0.35,0.2836,0.24987202456289637
0,0.26,0.2424,0.3,0.2836,0.28073598257797755
0,0.26,0.2424,0.3,0.2537,0.27146820190747606
0,0.26,0.2424,0.3,0.2537,0.2789070641998758
0,0.24,0.2273,0.3,0.2239,0.40086906614046885
0,0.24,0.2576,0.32,0.1045,0.40086906614046885
0,0.2,0.2576,0.47,0.0,0.33554367804680063
0,0.2,0.2273,0.47,0.1045,0.23070360980769442
0,0.18,0.197,0.64,0.1343,0.23070360980769442
0,0.14,0.1515,0.69,0.1343,0.14307630505634844
0,0.18,0.2121,0.55,0.1045,0.1108264293440259
0,0.16,0.1818,0.55,0.1045,0.07153815252817422
0,0.16,0.1818,0.59,0.1045,0.04524470031791268
0,0.14,0.1515,0.63,0.1343,0.031992834407549194
0,0.14,0.1818,0.63,0.0896,0.04524470031791268
0,0.12,0.1515,0.68,0.1045,0.06398566881509839
0,0.12,0.1515,0.74,0.1045,0.19195700644529518
0,0.12,0.1515,0.74,0.1343,0.31018203787826465
0,0.14,0.1515,0.69,0.1642,0.4280349520351891
0,0.16,0.1515,0.64,0.2239,0.319928344075492
0,0.16,0.1364,0.69,0.3284,0.2073372640024274
0,0.22,0.2121,0.51,0.2985,0.2415406028920298
0,0.22,0.2273,0.51,0.1642,0.2825530629235001
0,0.24,0.2273,0.56,0.194,0.3150928767563617
0,0.26,0.2576,0.52,0.2239,0.2539352507353369
0,0.28,0.2727,0.52,0.2537,0.25793447709229594
0,0.3,0.2879,0.49,0.2537,0.2914685928785393
0,0.28,0.2727,0.48,0.2239,0.46582270031302586
0,0.26,0.2576,0.48,0.194,0.43160693289618646
0,0.24,0.2576,0.48,0.1045,0.33858033431378254
0,0.24,0.2576,0.48,0.1045,0.23509835917155747
0,0.22,0.2727,0.64,0.0,0.2216528586880518
0,0.22,0.2576,0.64,0.0896,0.18927216084255558
0,0.2,0.2273,0.69,0.0896,0.10610822770981287
0,0.2,0.2576,0.64,0.0,0.07836611972385249
0,0.16,0.197,0.74,0.0896,0.07836611972385249
0,0.16,0.197,0.74,0.0896,0.04524470031791268
0,0.24,0.2273,0.48,0.2239,0.04524470031791268
0,0.22,0.2273,0.47,0.1642,0.05541321467201295
0,0.2,0.197,0.47,0.2239,0.1837848414944837
0,0.18,0.1818,0.43,0.194,0.30011938941318006
0,0.2,0.1818,0.4,0.2985,0.44675561934756725
0,0.22,0.197,0.37,0.3284,0.3430849270141714
0,0.22,0.197,0.37,0.3284,0.2415406028920298
0,0.26,0.2273,0.33,0.3284,0.21698596004748263
0,0.26,0.2273,0.33,0.3284,0.28435853217528084
0,0.28,0.2576,0.3,0.2985,0.2695764143864395
0,0.3,0.2879,0.28,0.194,0.25191183003699835
0,0.3,0.2879,0.28,0.194,0.25191183003699835
0,0.3,0.3182,0.28,0.0896,0.3018197961618304
0,0.24,0.2273,0.38,0.194,0.4409907891912076
0,0.24,0.2424,0.38,0.1343,0.41590684729813954
0,0.24,0.2576,0.38,0.1045,0.3675696829889674
0,0.22,0.2273,0.47,0.1642,0.3018197961618304
0,0.2,0.197,0.51,0.194,0.20979104484567768
0,0.18,0.197,0.55,0.1343,0.2073372640024274
0,0.2,0.2576,0.47,0.0,0.1394535320999379
0,0.18,0.2424,0.55,0.0,0.10610822770981287
0,0.16,0.2273,0.64,0.0,0.06398566881509839
0,0.16,0.2273,0.64,0.0,0.04524470031791268
0,0.16,0.197,0.64,0.0896,0.031992834407549194
0,0.14,0.1818,0.69,0.0896,0.06398566881509839
0,0.14,0.1667,0.63,0.1045,0.19195700644529518
0,0.16,0.2273,0.59,0.0,0.3118275774779101
0,0.16,0.2273,0.59,0.0,0.47345071369776304
0,0.18,0.2424,0.51,0.0,0.35337240599447123
0,0.2,0.2576,0.47,0.0,0.21461445758452266
0,0.22,0.2576,0.44,0.0896,0.245741623971811
0,0.26,0.2879,0.35,0.0,0.2932191707375637
0,0.26,0.2727,0.35,0.1045,0.2618726357978891
0,0.28,0.2727,0.36,0.1642,0.267671256843204
0,0.28,0.2727,0.36,0.0,0.25191183003699835
0,0.26,0.2576,0.38,0.1642,0.29668934088517956
0,0.22,0.2273,0.51,0.1642,0.41958208969135535
0,0.22,0.2273,0.51,0.1343,0.4084571665534891
0,0.22,0.2576,0.55,0.0896,0.33858033431378254
0,0.2,0.2121,0.51,0.1642,0.2657524417321346
0,0.22,0.2121,0.55,0.2239,0.2216528586880518
0,0.22,0.2121,0.51,0.2836,0.23070360980769442
0,0.2,0.197,0.59,0.194,0.15343224377184825
0,0.2,0.197,0.64,0.194,0.13190983552522034
0,0.2,0.197,0.69,0.2239,0.08464508357844563
0,0.2,0.197,0.69,0.2239,0.031992834407549194
0,0.2,0.2121,0.69,0.1343,0.031992834407549194
0,0.22,0.2727,0.55,0.0,0.07153815252817422
0,0.2,0.2576,0.69,0.0,0.18654867841017092
0,0.2,0.2121,0.69,0.1343,0.2932191707375637
0,0.2,0.197,0.51,0.2537,0.46362021657824776
0,0.2,0.1818,0.47,0.2985,0.3703438331597648
0,0.22,0.197,0.37,0.3284,0.2539352507353369
0,0.2,0.197,0.4,0.2239,0.2618726357978891
0,0.2,0.197,0.37,0.2537,0.245741623971811
0,0.2,0.1818,0.37,0.2836,0.2733468970014239
0,0.2,0.197,0.4,0.2537,0.2262235015895634
0,0.2,0.2121,0.37,0.1642,0.27146820190747606
0,0.2,0.2121,0.37,0.1642,0.29840929350191353
0,0.2,0.2576,0.37,0.0,0.43749543059464924
0,0.2,0.2273,0.4,0.0896,0.35481769794043566
0,0.16,0.197,0.55,0.0896,0.3118275774779101
0,0.18,0.2121,0.47,0.1045,0.2284745371477357
0,0.18,0.197,0.47,0.1343,0.19979518683823613
0,0.18,0.197,0.43,0.1642,0.19195700644529518
0,0.18,0.197,0.51,0.1642,0.12390771485840968
0,0.18,0.197,0.51,0.1642,0.159964172037746
0,0.18,0.2121,0.55,0.0896,0.12797133763019677
0,0.18,0.2424,0.55,0.0,0.12797133763019677
0,0.18,0.197,0.55,0.1642,0.08464508357844563
0,0.18,0.197,0.55,0.1642,0.031992834407549194
0,0.16,0.1667,0.74,0.1642,0.07153815252817422
0,0.16,0.1667,0.74,0.1642,0.04524470031791268
0,0.16,0.1818,0.74,0.1045,0.09597850322264759
0,0.16,0.1818,0.93,0.1045,0.12390771485840968
0,0.16,0.1818,0.93,0.1045,0.14307630505634844
0,0.18,0.197,0.8,0.1642,0.24987202456289637
0,0.2,0.1818,0.69,0.3881,0.25191183003699835
0,0.2,0.1818,0.59,0.3582,0.3167129022253887
0,0.2,0.1818,0.44,0.3284,0.3231117890912433
0,0.2,0.1667,0.32,0.4925,0.3118275774779101
0,0.2,0.1667,0.32,0.4478,0.27521276778837117
0,0.18,0.1364,0.29,0.4478,0.2789070641998758
0,0.16,0.1212,0.37,0.5522,0.2657524417321346
0,0.14,0.1212,0.39,0.2985,0.2372652101311684
0,0.14,0.1212,0.36,0.2537,0.17523197083542122
0,0.12,0.1212,0.36,0.2537,0.16929016715689127
0,0.12,0.1061,0.39,0.3582,0.1946048143722759
0,0.12,0.1061,0.36,0.3881,0.18654867841017092
0,0.1,0.0606,0.39,0.4478,0.15005969470659003
0,0.1,0.0758,0.42,0.3881,0.159964172037746
0,0.1,0.0606,0.42,0.4627,0.1108264293440259
0,0.1,0.0606,0.46,0.4627,0.10610822770981287
0,0.1,0.0758,0.46,0.4179,0.06398566881509839
0,0.08,0.0909,0.53,0.194,0.031992834407549194
0,0.08,0.0909,0.53,0.194,0.031992834407549194
0,0.1,0.0909,0.49,0.2836,0.031992834407549194
0,0.08,0.0909,0.53,0.194,0.07836611972385249
0,0.1,0.0909,0.49,0.2836,0.1011702255324591
0,0.12,0.0758,0.46,0.5224,0.1394535320999379
0,0.14,0.1061,0.43,0.3881,0.2239498408528444
0,0.16,0.1212,0.4,0.5224,0.2239498408528444
0,0.18,0.1364,0.37,0.4478,0.2914685928785393
0,0.2,0.1667,0.34,0.4478,0.2770660733600648
0,0.22,0.1818,0.32,0.4627,0.27146820190747606
0,0.22,0.197,0.35,0.3582,0.2897074372210124
0,0.2,0.1667,0.34,0.4478,0.3068644875436965
0,0.18,0.1515,0.37,0.3881,0.25191183003699835
0,0.16,0.1364,0.4,0.3284,0.2216528586880518
0,0.16,0.1364,0.43,0.3284,0.20485409341915384
0,0.14,0.1212,0.46,0.2537,0.19721707641656394
0,0.14,0.1061,0.46,0.4179,0.14307630505634844
0,0.14,0.1212,0.46,0.2985,0.12390771485840968
0,0.12,0.1364,0.5,0.194,0.07836611972385249
0,0.12,0.1212,0.5,0.2836,0.07153815252817422
0,0.12,0.1212,0.5,0.2836,0.031992834407549194
0,0.12,0.1212,0.5,0.2239,0.05541321467201295
0,0.12,0.1212,0.5,0.2239,0.031992834407549194
0,0.1,0.1212,0.54,0.1343,0.05541321467201295
0,0.1,0.1061,0.54,0.2537,0.05541321467201295
0,0.12,0.1212,0.5,0.2836,0.17812856328027454
0,0.12,0.1212,0.5,0.2239,0.28073598257797755
0,0.12,0.1212,0.5,0.2836,0.4386636447719669
0,0.14,0.1212,0.5,0.2537,0.31018203787826465
0,0.14,0.1212,0.5,0.2985,0.17812856328027454
0,0.16,0.1364,0.47,0.2836,0.17523197083542122
0,0.2,0.1818,0.4,0.2836,0.23070360980769442
0,0.2,0.1818,0.4,0.2836,0.23509835917155747
0,0.2,0.197,0.4,0.2239,0.21933182238598345
0,0.2,0.197,0.4,0.2239,0.21461445758452266
0,0.2,0.2121,0.4,0.1343,0.27521276778837117
0,0.2,0.2273,0.4,0.1045,0.42683764912474365
0,0.2,0.197,0.4,0.2239,0.3983075762290668
0,0.16,0.1667,0.47,0.1642,0.3118275774779101
0,0.16,0.1667,0.5,0.1642,0.27521276778837117
0,0.14,0.1364,0.59,0.194,0.19721707641656394
0,0.14,0.1515,0.59,0.1642,0.15673223944770498
0,0.14,0.1515,0.59,0.1642,0.13573410095373803
0,0.14,0.1667,0.59,0.1045,0.1108264293440259
0,0.14,0.1515,0.59,0.1642,0.05541321467201295
0,0.16,0.1515,0.55,0.194,0.05541321467201295
0,0.16,0.1818,0.55,0.1343,0.07836611972385249
0,0.16,0.1818,0.55,0.1343,0.16623964401603886
0,0.16,0.2273,0.55,0.0,0.3183246831294386
0,0.18,0.2121,0.51,0.0896,0.4712838798368383
0,0.18,0.197,0.51,0.1642,0.3647744357075373
0,0.2,0.2121,0.51,0.1642,0.23509835917155747
0,0.2,0.2121,0.47,0.1343,0.18927216084255558
0,0.2,0.2273,0.51,0.1045,0.2415406028920298
0,0.2,0.2273,0.59,0.0896,0.23070360980769442
0,0.2,0.2273,0.59,0.0896,0.2539352507353369
0,0.16,0.197,0.8,0.0896,0.21933182238598345
0,0.16,0.1515,0.86,0.2239,0.2789070641998758
0,0.16,0.1515,0.86,0.2239,0.37309735682034184
0,0.16,0.1818,0.93,0.1045,0.3118275774779101
0,0.16,0.2273,0.93,0.0,0.2284745371477357
0,0.16,0.1515,0.93,0.194,0.18097880127165072
0,0.16,0.197,0.86,0.0896,0.14307630505634844
0,0.16,0.1818,0.93,0.1045,0.1722866859320158
0,0.16,0.197,0.93,0.0896,0.1394535320999379
0,0.16,0.197,0.86,0.0896,0.08464508357844563
0,0.16,0.1818,0.86,0.1045,0.07836611972385249
0,0.14,0.1515,0.86,0.1343,0.031992834407549194
0,0.14,0.1515,0.86,0.1642,0.07153815252817422
0,0.12,0.1515,0.93,0.1343,0.12797133763019677
0,0.14,0.1515,0.69,0.1343,0.23509835917155747
0,0.16,0.1667,0.59,0.1642,0.36195760254330145
0,0.16,0.1364,0.59,0.3284,0.2879355096679428
0,0.18,0.1818,0.55,0.2239,0.19979518683823613
0,0.2,0.1818,0.51,0.3881,0.18927216084255558
0,0.2,0.1515,0.47,0.5821,0.2372652101311684
0,0.22,0.197,0.44,0.3582,0.2239498408528444
0,0.2,0.1818,0.47,0.3284,0.21221645541962575
0,0.2,0.1667,0.47,0.4179,0.2239498408528444
0,0.22,0.197,0.44,0.3284,0.2638196710504407
0,0.2,0.1818,0.47,0.3582,0.377189954832591
0,0.2,0.1515,0.47,0.5224,0.37446652603370884
0,0.18,0.1515,0.47,0.4179,0.2914685928785393
0,0.16,0.1364,0.5,0.3284,0.23941245036968392
0,0.16,0.1364,0.55,0.3284,0.2415406028920298
0,0.16,0.1212,0.55,0.4478,0.1837848414944837
0,0.14,0.1061,0.59,0.4179,0.14307630505634844
0,0.14,0.1212,0.59,0.2836,0.08464508357844563
0,0.14,0.1212,0.5,0.2836,0.04524470031791268
0,0.14,0.1212,0.5,0.3582,0.04524470031791268
0,0.14,0.1212,0.5,0.3284,0.05541321467201295
0,0.14,0.1212,0.5,0.2537,0.06398566881509839
0,0.14,0.1212,0.5,0.2985,0.05541321467201295
0,0.12,0.1515,0.54,0.1343,0.16929016715689127
0,0.12,0.1515,0.54,0.1343,0.27146820190747606
0,0.14,0.1364,0.5,0.194,0.4547036107099112
0,0.14,0.1212,0.5,0.3284,0.377189954832591
0,0.16,0.1364,0.5,0.3582,0.19721707641656394
0,0.2,0.1667,0.44,0.4478,0.1946048143722759
0,0.2,0.1667,0.44,0.4179,0.23070360980769442
0,0.22,0.197,0.41,0.4478,0.2914685928785393
0,0.22,0.197,0.41,0.3881,0.2073372640024274
0,0.24,0.2121,0.38,0.2985,0.24781542971681936
0,0.24,0.2121,0.38,0.3582,0.2825530629235001
0,0.2,0.1818,0.4,0.2836,0.40720230286121406
0,0.2,0.1818,0.4,0.3284,0.38391401289059035
0,0.16,0.1515,0.47,0.2537,0.3183246831294386
0,0.16,0.1515,0.47,0.2239,0.25594267526039355
0,0.14,0.1212,0.46,0.2985,0.2023404510649182
0,0.14,0.1212,0.46,0.3284,0.17523197083542122
0,0.12,0.1364,0.5,0.194,0.12390771485840968
0,0.12,0.1364,0.5,0.194,0.11970622518484196
0,0.1,0.1212,0.54,0.1642,0.07153815252817422
0,0.1,0.1212,0.54,0.1343,0.031992834407549194
0,0.1,0.1364,0.54,0.1045,0.031992834407549194
0,0.1,0.1364,0.54,0.0896,0.09048940063582536
0,0.1,0.1818,0.54,0.0,0.13190983552522034
0,0.1,0.1212,0.74,0.1642,0.267671256843204
0,0.12,0.1667,0.68,0.0,0.4021436927787883
0,0.14,0.1515,0.69,0.1343,0.34605541471154166
0,0.18,0.1818,0.55,0.194,0.21221645541962575
0,0.18,0.1667,0.51,0.2836,0.23291135015651293
0,0.2,0.197,0.44,0.2537,0.24987202456289637
0,0.22,0.197,0.37,0.3881,0.28073598257797755
0,0.22,0.2121,0.41,0.2836,0.25594267526039355
0,0.24,0.2424,0.38,0.1642,0.2638196710504407
0,0.22,0.2424,0.41,0.1045,0.3035106765973773
0,0.22,0.2273,0.41,0.1642,0.4034142921305458
0,0.2,0.2576,0.47,0.0,0.377189954832591
0,0.16,0.197,0.59,0.0896,0.3068644875436965
0,0.18,0.2424,0.59,0.0,0.2638196710504407
0,0.16,0.2273,0.69,0.0,0.23070360980769442
0,0.16,0.2273,0.69,0.0,0.19195700644529518
0,0.18,0.2424,0.55,0.0,0.16623964401603886
0,0.18,0.2424,0.55,0.0,0.16929016715689127
0,0.16,0.197,0.59,0.0896,0.14307630505634844
0,0.16,0.197,0.59,0.0896,0.1108264293440259
0,0.16,0.2273,0.59,0.0,0.09048940063582536
0,0.16,0.2273,0.59,0.0,0.07153815252817422
0,0.16,0.2273,0.59,0.0,0.031992834407549194
0,0.14,0.1667,0.63,0.1045,0.05541321467201295
0,0.14,0.2121,0.63,0.0,0.1011702255324591
0,0.14,0.1515,0.63,0.1343,0.15343224377184825
0,0.16,0.1818,0.64,0.1343,0.1837848414944837
0,0.18,0.197,0.59,0.1642,0.245741623971811
0,0.2,0.197,0.55,0.2239,0.27146820190747606
0,0.24,0.2273,0.48,0.2239,0.3018197961618304
0,0.28,0.2576,0.38,0.2985,0.32152400656298624
0,0.3,0.2879,0.39,0.2836,0.34753113746052444
0,0.32,0.3182,0.36,0.194,0.3633687486456746
0,0.34,0.3333,0.34,0.194,0.36195760254330145
0,0.32,0.303,0.36,0.2836,0.2914685928785393
0,0.3,0.2879,0.45,0.2537,0.2932191707375637
0,0.32,0.303,0.39,0.2537,0.27521276778837117
0,0.32,0.303,0.39,0.2537,0.20485409341915384
0,0.32,0.303,0.39,0.2239,0.2415406028920298
0,0.3,0.3182,0.42,0.1045,0.163132086939236
0,0.3,0.2879,0.45,0.2836,0.21221645541962575
0,0.26,0.303,0.56,0.0,0.19979518683823613
0,0.26,0.2727,0.56,0.1343,0.15343224377184825
0,0.26,0.2879,0.56,0.0896,0.12797133763019677
0,0.22,0.2727,0.69,0.0,0.12390771485840968
0,0.26,0.2576,0.56,0.1642,0.031992834407549194
0,0.26,0.2576,0.56,0.1642,0.04524470031791268
0,0.26,0.2576,0.56,0.1642,0.031992834407549194
0,0.24,0.2121,0.56,0.2985,0.05541321467201295
0,0.22,0.2121,0.55,0.2836,0.13573410095373803
0,0.22,0.2121,0.51,0.2537,0.18097880127165072
0,0.22,0.2121,0.51,0.2836,0.28435853217528084
0,0.24,0.2273,0.44,0.2537,0.3085277218806834
0,0.24,0.2121,0.41,0.2836,0.326264173878472
0,0.26,0.2273,0.35,0.2985,0.34753113746052444
0,0.28,0.2727,0.36,0.2537,0.3051921890580206
0,0.26,0.2424,0.38,0.2537,0.34008849471492214
0,0.24,0.2273,0.38,0.2239,0.3183246831294386
0,0.22,0.2121,0.37,0.2537,0.32782899903765483
0,0.2,0.2121,0.4,0.1642,0.2618726357978891
0,0.18,0.197,0.47,0.1343,0.24987202456289637
0,0.18,0.197,0.47,0.1642,0.2415406028920298
0,0.18,0.197,0.51,0.1642,0.16929016715689127
0,0.2,0.2121,0.49,0.1343,0.14660958536878185
0,0.2,0.2273,0.4,0.1045,0.13573410095373803
0,0.2,0.197,0.47,0.2239,0.13190983552522034
0,0.2,0.197,0.44,0.194,0.12797133763019677
0,0.18,0.1667,0.43,0.2537,0.09048940063582536
0,0.18,0.1818,0.43,0.194,0.04524470031791268
0,0.18,0.197,0.43,0.1343,0.05541321467201295
0,0.18,0.197,0.43,0.1642,0.031992834407549194
0,0.18,0.1818,0.43,0.194,0.07153815252817422
0,0.16,0.1818,0.5,0.1343,0.11535180490384721
0,0.16,0.1515,0.47,0.2239,0.1837848414944837
0,0.16,0.1515,0.47,0.2239,0.21933182238598345
0,0.16,0.1515,0.5,0.2537,0.2415406028920298
0,0.16,0.1515,0.55,0.194,0.25594267526039355
0,0.18,0.197,0.47,0.1343,0.2861526101126969
0,0.18,0.197,0.47,0.1343,0.3085277218806834
0,0.18,0.2121,0.43,0.1045,0.29668934088517956
0,0.2,0.2121,0.47,0.1642,0.3085277218806834
0,0.2,0.2121,0.47,0.1642,0.2897074372210124
0,0.2,0.197,0.51,0.194,0.2695764143864395
0,0.18,0.1667,0.55,0.2537,0.3068644875436965
0,0.18,0.1818,0.59,0.194,0.24781542971681936
0,0.16,0.1515,0.8,0.194,0.1837848414944837
0,0.16,0.1515,0.8,0.194,0.16623964401603886
0,0.14,0.1212,0.93,0.2537,0.11535180490384721
0,0.16,0.1364,0.86,0.2836,0.06398566881509839
0,0.2,0.1818,0.86,0.3284,0.05541321467201295
0,0.2,0.197,0.86,0.2239,0.15005969470659003
0,0.22,0.2273,0.8,0.1642,0.16929016715689127
0,0.22,0.2273,0.87,0.1642,0.18927216084255558
0,0.22,0.2273,0.87,0.194,0.24987202456289637
0,0.22,0.2273,0.82,0.194,0.3576907626408711
0,0.22,0.2273,0.8,0.1642,0.3689593653859987
0,0.22,0.2273,0.8,0.1343,0.3183246831294386
0,0.22,0.2727,0.87,0.0,0.2914685928785393
0,0.22,0.2424,0.93,0.1045,0.20485409341915384
0,0.22,0.2576,0.93,0.0896,0.1837848414944837
0,0.22,0.2727,0.93,0.0,0.14307630505634844
0,0.22,0.2727,0.93,0.0,0.05541321467201295
0,0.22,0.2273,0.93,0.1343,0.08464508357844563
0,0.22,0.2273,0.93,0.1343,0.05541321467201295
0,0.22,0.2273,0.93,0.1343,0.04524470031791268
0,0.22,0.2576,0.93,0.0896,0.08464508357844563
0,0.22,0.2576,0.93,0.0896,0.18097880127165072
0,0.24,0.2576,0.92,0.1045,0.3035106765973773
0,0.24,0.2576,0.93,0.1045,0.4490408292410459
0,0.24,0.2576,0.93,0.1045,0.3340149973036333
0,0.26,0.2727,0.93,0.1343,0.21933182238598345
0,0.28,0.303,0.87,0.0896,0.23070360980769442
0,0.3,0.3182,0.81,0.0896,0.267671256843204
0,0.4,0.4091,0.62,0.2836,0.2825530629235001
0,0.4,0.4091,0.58,0.2537,0.2770660733600648
0,0.4,0.4091,0.54,0.2836,0.2897074372210124
0,0.38,0.3939,0.58,0.3881,0.326264173878472
0,0.36,0.3333,0.57,0.3284,0.4490408292410459
0,0.34,0.3182,0.61,0.2836,0.4059435601189494
0,0.32,0.2879,0.57,0.4179,0.33858033431378254
0,0.32,0.303,0.49,0.2985,0.2789070641998758
0,0.32,0.2879,0.49,0.4179,0.245741623971811
0,0.3,0.303,0.52,0.1642,0.245741623971811
0,0.3,0.2727,0.52,0.4627,0.16929016715689127
0,0.26,0.2273,0.56,0.3881,0.11535180490384721
0,0.26,0.2727,0.56,0.0,0.07153815252817422
0,0.26,0.2727,0.56,0.0,0.04524470031791268
0,0.26,0.2576,0.56,0.1642,0.031992834407549194
0,0.26,0.2576,0.56,0.1642,0.031992834407549194
0,0.24,0.2273,0.6,0.2239,0.07836611972385249
0,0.22,0.2121,0.6,0.2239,0.18927216084255558
0,0.22,0.2121,0.55,0.2239,0.32152400656298624
0,0.22,0.2121,0.55,0.2836,0.5048384116762383
0,0.24,0.2273,0.52,0.2239,0.38257865575633926
0,0.26,0.2273,0.48,0.2985,0.2415406028920298
0,0.28,0.2727,0.45,0.1642,0.2638196710504407
0,0.3,0.3333,0.42,0.0,0.2932191707375637
0,0.28,0.2879,0.45,0.1045,0.3167129022253887
0,0.3,0.303,0.45,0.1343,0.2879355096679428
0,0.32,0.3182,0.45,0.194,0.267671256843204
0,0.3,0.303,0.49,0.1343,0.3051921890580206
0,0.3,0.3182,0.49,0.1045,0.46910703734564213
0,0.26,0.2576,0.56,0.194,0.435149593685137
0,0.26,0.2273,0.56,0.3284,0.3944341528331279
0,0.26,0.2424,0.6,0.2836,0.3591186755545259
0,0.24,0.2273,0.6,0.2537,0.2415406028920298
0,0.24,0.2121,0.65,0.2836,0.23941245036968392
0,0.24,0.2121,0.65,0.3284,0.17812856328027454
0,0.24,0.2273,0.7,0.2537,0.14660958536878185
0,0.24,0.2273,0.7,0.2537,0.07836611972385249
0,0.24,0.2424,0.75,0.1642,0.04524470031791268
0,0.22,0.2121,0.8,0.2985,0.031992834407549194
0,0.22,0.2576,0.87,0.0896,0.031992834407549194
0,0.24,0.197,0.6,0.4179,0.07153815252817422
0,0.22,0.2121,0.55,0.2537,0.16623964401603886
0,0.2,0.1818,0.51,0.2836,0.2638196710504407
0,0.2,0.1818,0.47,0.3284,0.4712838798368383
0,0.2,0.1818,0.51,0.3582,0.4121988370546324
0,0.2,0.1667,0.47,0.4627,0.2539352507353369
0,0.22,0.1818,0.41,0.4627,0.245741623971811
0,0.22,0.1818,0.27,0.5821,0.2825530629235001
0,0.2,0.1515,0.21,0.5821,0.2733468970014239
0,0.2,0.1515,0.25,0.5224,0.25191183003699835
0,0.16,0.1212,0.26,0.4478,0.25793447709229594
0,0.16,0.1364,0.26,0.3582,0.3150928767563617
0,0.14,0.1212,0.28,0.3582,0.4059435601189494
0,0.12,0.1212,0.3,0.2537,0.35046394167084244
0,0.12,0.1061,0.3,0.3284,0.31346447889540996
0,0.1,0.0758,0.33,0.4179,0.23291135015651293
0,0.08,0.0758,0.38,0.2836,0.20485409341915384
0,0.06,0.0303,0.41,0.3881,0.18654867841017092
0,0.06,0.0455,0.38,0.3284,0.16623964401603886
0,0.04,0.0303,0.45,0.2537,0.11535180490384721
0,0.04,0.0,0.41,0.3881,0.1108264293440259
0,0.04,0.0303,0.41,0.2537,0.10610822770981287
0,0.04,0.0303,0.41,0.2836,0.08464508357844563
0,0.02,0.0152,0.48,0.2985,0.05541321467201295
0,0.02,0.0303,0.44,0.2239,0.04524470031791268
0,0.02,0.0152,0.44,0.2836,0.09048940063582536
0,0.02,0.0,0.44,0.3284,0.16623964401603886
